category;language;item
Économie et travail;en;aggregate demand
Économie et travail;en;aggregate supply
Économie et travail;en;business cycle*
Économie et travail;en;demand shock*
Économie et travail;en;demand side
Économie et travail;en;demand-side
Économie et travail;en;econom*
Économie et travail;en;employment rate
Économie et travail;en;full employment
Économie et travail;en;food price*
Économie et travail;en;industr*
Économie et travail;en;keynes
Économie et travail;en;bank of canada
Économie et travail;en;bank of england
Économie et travail;en;bear market*
Économie et travail;en;bretton woods
Économie et travail;en;budget*
Économie et travail;en;bull market*
Économie et travail;en;changing demographic*
Économie et travail;en;coinage*
Économie et travail;en;dette*
Économie et travail;en;deficit*
Économie et travail;en;deflation*
Économie et travail;en;demographic change*
Économie et travail;en;distribution of income*
Économie et travail;en;european central bank
Économie et travail;en;federal reserve
Économie et travail;en;fiscal*
Économie et travail;en;gini coefficien*
Économie et travail;en;gold standard
Économie et travail;en;government* spending*
Économie et travail;en;gst
Économie et travail;en;hst
Économie et travail;en;hyperinflation*
Économie et travail;en;income* distribution*
Économie et travail;en;income inequalit*
Économie et travail;en;inflation*
Économie et travail;en;interest rate*
Économie et travail;en;monetar*
Économie et travail;en;money supply
Économie et travail;en;population boom*
Économie et travail;en;population growth*
Économie et travail;en;population trend*
Économie et travail;en;price* ceiling*
Économie et travail;en;price* control*
Économie et travail;en;price* floor*
Économie et travail;en;price index
Économie et travail;en;price indices
Économie et travail;en;price level
Économie et travail;en;quantitative easing*
Économie et travail;en;recession*
Économie et travail;en;macroeconom*
Économie et travail;en;microeconom*
Économie et travail;en;productivity
Économie et travail;en;supply and demand
Économie et travail;en;supply shock
Économie et travail;en;supply side
Économie et travail;en;supply-side
Économie et travail;en;cost of living
Économie et travail;en;revenue*
Économie et travail;en;suppl* of money
Économie et travail;en;unemploy*
Économie et travail;en;labour market*
Économie et travail;en;tax
Économie et travail;en;taxes
Économie et travail;en;taxation
Économie et travail;en;standard* of living
Économie et travail;en;living standard*
Économie et travail;en;gross national product*
Économie et travail;en;gross domestic product*
Économie et travail;en;gdp
Économie et travail;en;keynesian*
Économie et travail;en;austerity
Économie et travail;en;lendor* of last resort
Économie et travail;en;jobless
Économie et travail;en;job*
Économie et travail;en;nationalize*
Économie et travail;en;nationalise*
Économie et travail;en;nationalisation*
Économie et travail;en;nationalization*
Économie et travail;en;privatiz*
Économie et travail;en;privatis*
Droits, libertés, minorités et discrimination;en;civil right*
Droits, libertés, minorités et discrimination;en;ableism*
Droits, libertés, minorités et discrimination;en;abortion*
Droits, libertés, minorités et discrimination;en;access to info*
Droits, libertés, minorités et discrimination;en;african american*
Droits, libertés, minorités et discrimination;en;anti-choice
Droits, libertés, minorités et discrimination;en;anti-semit*
Droits, libertés, minorités et discrimination;en;bill 101
Droits, libertés, minorités et discrimination;en;charter of the french language
Droits, libertés, minorités et discrimination;en;biphobi*
Droits, libertés, minorités et discrimination;en;bisexual*
Droits, libertés, minorités et discrimination;en;charter* of rights
Droits, libertés, minorités et discrimination;en;civil libert*
Droits, libertés, minorités et discrimination;en;disabilit*
Droits, libertés, minorités et discrimination;en;discriminat*
Droits, libertés, minorités et discrimination;en;diversity
Droits, libertés, minorités et discrimination;en;equal employm*
Droits, libertés, minorités et discrimination;en;equal opportunit*
Droits, libertés, minorités et discrimination;en;equal right*
Droits, libertés, minorités et discrimination;en;equalit*
Droits, libertés, minorités et discrimination;en;ethnic*
Droits, libertés, minorités et discrimination;en;ethnocentrism*
Droits, libertés, minorités et discrimination;en;first nation*
Droits, libertés, minorités et discrimination;en;first people*
Droits, libertés, minorités et discrimination;en;freedom of expression
Droits, libertés, minorités et discrimination;en;freedom of speech
Droits, libertés, minorités et discrimination;en;freedom of association
